subject,port,B,variant,R0_kmin,R0_kmax,mono_sign
304727,T2,0,orig,56.34425227620843,150.47840913824325,1.0
304727,T2,0,surr0,53.75063625427671,150.37011984380487,1.0
304727,T2,0,surr1,53.93647556399487,150.36729464680622,1.0
304727,T2,0,surr2,54.901115575942974,150.3809501546591,1.0
304727,T2,10,orig,56.34425227620843,150.47840913824325,1.0
304727,T2,10,surr0,53.914878818873234,150.37022581094666,1.0
304727,T2,10,surr1,55.115127694907855,150.42462649407736,1.0
304727,T2,10,surr2,53.90669356401809,150.3473200587246,1.0
304727,T3,0,orig,279.59523137282594,513.1576730531482,1.0
304727,T3,0,surr0,297.5851711786694,513.4404926436669,1.0
304727,T3,0,surr1,301.7982094893571,513.6208855191782,1.0
304727,T3,0,surr2,300.7232902107964,513.5527643435489,1.0
304727,T3,10,orig,279.59523137282594,513.1576730531482,1.0
304727,T3,10,surr0,300.49190860629307,513.5672993745013,1.0
304727,T3,10,surr1,296.9959319478784,513.5580988209715,1.0
304727,T3,10,surr2,301.0584205877319,513.5358937057572,1.0
314225,T2,0,orig,60.33335667029825,150.3379232311703,1.0
314225,T2,0,surr0,58.89567438546986,150.22849102657733,1.0
314225,T2,0,surr1,56.57437830834916,150.33071437368827,1.0
314225,T2,0,surr2,55.33345540456104,150.31089119822025,1.0
314225,T2,10,orig,60.33335667029825,150.3379232311703,1.0
314225,T2,10,surr0,58.58113575792003,150.24443920768795,1.0
314225,T2,10,surr1,61.70807736865142,150.35862522764987,1.0
314225,T2,10,surr2,62.007972141408324,150.36505248012443,1.0
314225,T3,0,orig,211.95870362013696,512.315212224825,1.0
314225,T3,0,surr0,246.15328993926585,512.9184440710404,1.0
314225,T3,0,surr1,231.67520515632052,512.6152344705549,1.0
314225,T3,0,surr2,231.66661050543462,512.5568820071193,1.0
314225,T3,10,orig,211.95870362013696,512.315212224825,1.0
314225,T3,10,surr0,233.67185707848913,512.7666384401357,1.0
314225,T3,10,surr1,232.4021838110249,512.7768631339032,1.0
314225,T3,10,surr2,231.3290818859066,512.7800438902586,1.0
519647,T2,0,orig,55.66659662643837,150.35260892436492,1.0
519647,T2,0,surr0,54.8391126875606,150.3170165972711,1.0
519647,T2,0,surr1,55.40670280786895,150.34300373280803,1.0
519647,T2,0,surr2,53.18045860408064,150.2669588883447,1.0
519647,T2,10,orig,55.66659662643837,150.35260892436492,1.0
519647,T2,10,surr0,51.45088629243479,150.20323363436947,1.0
519647,T2,10,surr1,56.008790272400645,150.35702801498508,1.0
519647,T2,10,surr2,53.39112056645066,150.28700015100964,1.0
519647,T3,0,orig,222.83422442555732,512.3602947202412,1.0
519647,T3,0,surr0,251.53065677882324,512.8330169839527,1.0
519647,T3,0,surr1,260.1333439037798,513.1473429275,1.0
519647,T3,0,surr2,267.09941046226476,513.1282882339927,1.0
519647,T3,10,orig,222.83422442555732,512.3602947202412,1.0
519647,T3,10,surr0,238.96291744788937,512.6812687887783,1.0
519647,T3,10,surr1,237.04121830420664,512.6023495637822,1.0
519647,T3,10,surr2,236.06628000161365,512.5895808309194,1.0
